symbol,b1_p,b1_v
600556,12.35,219
002404,5.75,1596
300925,28.81,13
600810,12.44,1193
603823,14.9,607
300438,47.24,8
600666,1.67,1441
688182,24.13,45
600136,6.69,19
003037,10.91,201
300613,163.04,3
600645,25.23,209
002546,4.19,1067
002221,12.59,9
002989,25.29,44
603630,20.15,117
300187,7.57,41
300610,20.12,269
600865,9.29,47
000502,5.96,40
300873,49.09,6
300385,8.44,99
000815,6.72,1417
688188,385.27,2
000902,16.88,362
603958,6.77,5
600149,5.13,920
002104,6.78,1280
002976,22.12,82
605376,84.03,3
300214,7.7,630
002409,81.16,6
603007,3.41,913
600187,2.58,1026
603116,5.98,216
000716,3.42,103
001201,38.57,2
600388,8.62,72
688036,156.9,2
000697,8.62,696
002724,16.34,143
002793,10.36,46
000035,6.0,1938
603722,53.86,15
688707,50.15,20
603228,34.53,3
002939,12.94,916
002065,7.79,1571
301019,41.38,15
605008,14.74,93
300306,10.36,86
688619,21.81,156
002809,10.44,181
688222,23.47,10
300394,36.6,230
002166,9.7,150
300507,13.83,44
002312,13.08,742
601106,3.48,2910
000630,3.47,10969
000881,9.63,62
300388,7.85,600
300310,5.27,883
000667,1.73,54476
300482,39.37,74
688103,69.67,17
688590,18.37,57
002197,8.76,492
002073,7.88,353
000806,2.64,1348
688505,14.09,56
000972,2.68,1157
600874,7.07,169
300020,8.83,3
300235,16.49,22
600835,15.92,84
688395,28.45,2
300246,21.85,22
600551,7.97,209
002893,8.84,446
000703,10.61,2313
688577,54.94,1
002830,10.62,34
301016,25.91,30
601500,5.33,1658
002537,7.1,2081
600787,6.24,359
600222,8.97,228
603586,13.38,179
002381,8.07,204
002370,4.47,1030
300231,8.96,67
603963,8.84,629
002079,13.5,670
002451,7.21,16
300819,25.22,11
002529,30.75,283
600461,8.14,690
600165,13.43,1119
002004,7.24,1871
600056,11.8,282
688189,35.22,18
600900,22.67,3
000061,6.38,1143
002945,13.66,193
003013,20.08,57
601158,6.4,152
603916,25.75,1704
688098,11.03,191
002880,32.17,45
002583,5.52,3422
002925,34.02,119
000626,24.83,10
300881,27.77,22
301080,211.13,1
300459,5.55,17962
002496,2.78,3461
002959,63.86,74
301100,37.05,330
300839,18.6,2
300257,15.87,184
002535,1.85,4874
603179,43.23,1
600103,2.81,9308
000605,5.59,135
688019,273.0,13
300490,22.44,1041
002651,13.23,77
600825,4.71,2236
000553,8.44,34
300947,32.84,10
688578,30.2,63
603985,53.42,106
300733,26.27,25
603726,14.18,20
002093,6.58,943
600741,28.3,933
600425,3.78,3637
300762,27.41,85
300115,19.83,94
600311,1.89,403
002559,8.58,294
605389,46.5,68
000691,4.74,352
002910,11.58,289
603790,10.51,5
000558,3.84,771
605499,181.83,50
300903,25.87,37
002979,25.87,38
300103,9.55,49
300808,14.41,23
688355,33.43,15
000422,21.3,435
688058,81.11,1
603603,6.72,182
688096,14.44,167
300409,24.25,260
