symbol,name,close,yest_close,b1_p,b1_v,volume
002165,红 宝 丽,6.18,6.4,6.17,1361,244079
300890,翔丰华,56.39,58.4,56.38,6,20566
000920,沃顿科技,10.94,11.33,10.92,39,139469
002836,新宏泽,9.8,10.15,9.8,209,24775
002859,洁美科技,34.38,35.61,34.38,51,72000
002805,丰元股份,29.6,30.66,29.6,33,65900
600268,国电南自,9.49,9.83,9.48,799,205964
688378,奥来德,71.68,74.25,71.68,337,16160
300268,佳沃食品,18.96,19.64,18.96,38,40562
600718,东软集团,13.38,13.86,13.37,606,246627
688660,电气风电,11.42,11.83,11.42,575,198444
300735,光弘科技,14.75,15.28,14.74,179,134982
600609,金杯汽车,5.28,5.47,5.28,2271,137839
300340,科恒股份,18.33,18.99,18.33,145,72510
601969,海南矿业,11.63,12.05,11.62,255,190794
688786,悦安新材,53.7,55.64,53.7,26,3540
600596,新安股份,23.8,24.66,23.8,113,222074
003031,中瓷电子,79.1,81.96,79.1,1,10734
688135,利扬芯片,40.1,41.55,40.1,23,22930
688772,珠海冠宇,45.61,47.26,45.6,10,61701
688020,方邦股份,85.96,89.07,85.96,24,6204
600236,桂冠电力,6.08,6.3,6.08,364,107393
603005,晶方科技,51.92,53.8,51.92,35,99499
300880,迦南智能,24.3,25.18,24.3,4,35849
002080,中材科技,31.74,32.89,31.74,68,234328
000403,派林生物,27.85,28.86,27.85,31,41688
600367,红星发展,17.37,18.0,17.37,21,139264
300712,永福股份,51.49,53.36,51.49,84,42152
300502,新易盛,37.94,39.32,37.94,913,114764
688339,亿华通-U,253.11,262.32,253.09,6,11779
600515,*ST基础,4.39,4.55,4.38,933,440987
688221,前沿生物-U,17.27,17.9,17.26,98,31607
300757,罗博特科,58.11,60.23,58.11,2,26072
002703,浙江世宝,6.3,6.53,6.29,232,166852
002544,杰赛科技,22.46,23.28,22.46,63,91491
603318,水发燃气,8.49,8.8,8.48,149,106084
300102,乾照光电,8.76,9.08,8.75,1063,328588
003038,鑫铂股份,67.82,70.3,67.82,41,19027
600273,嘉化能源,11.18,11.59,11.18,1630,379489
688106,金宏气体,27.53,28.54,27.52,6,56132
000998,隆平高科,23.15,24.0,23.15,1218,374146
300253,卫宁健康,16.32,16.92,16.31,460,335775
603798,康普顿,12.78,13.25,12.77,11,52061
002533,金杯电工,8.15,8.45,8.14,916,141424
603178,圣龙股份,13.84,14.35,13.82,15,36452
688060,云涌科技,69.44,72.0,69.42,13,8756
002913,奥士康,75.36,78.14,75.36,10,11310
300569,天能重工,13.82,14.33,13.82,176,171280
301091,深城交,31.96,33.14,31.95,42,33410
600664,哈药股份,3.52,3.65,3.51,145,614142
688689,银河微电,39.22,40.67,39.22,20,27218
300409,道氏技术,22.99,23.84,22.96,61,162000
688180,君实生物-U,58.15,60.3,58.15,419,73815
600613,神奇制药,6.22,6.45,6.21,66,239902
603613,国联股份,105.99,109.91,105.97,3,31606
300596,利安隆,42.98,44.57,42.97,103,20752
001914,招商积余,19.45,20.17,19.45,138,142525
605162,新中港,12.4,12.86,12.4,73,49539
300179,四方达,10.51,10.9,10.51,136,97753
600726,华电能源,2.96,3.07,2.96,5384,357251
603129,春风动力,177.4,184.0,177.16,3,8762
000697,炼石航空,8.33,8.64,8.33,282,75647
002540,亚太科技,7.25,7.52,7.25,455,132520
001211,双枪科技,31.13,32.29,31.13,14,18881
600379,宝光股份,14.74,15.29,14.74,869,166698
300930,屹通新材,30.81,31.96,30.8,33,8866
300263,隆华科技,9.91,10.28,9.9,953,185537
002600,领益智造,7.23,7.5,7.23,5894,893688
603456,九洲药业,49.21,51.05,49.2,4,147961
603738,泰晶科技,53.74,55.75,53.74,7,47397
002271,东方雨虹,49.16,51.0,49.16,1185,253890
688670,金迪克,73.72,76.48,73.72,2,7602
300397,天和防务,14.69,15.24,14.68,1098,100020
002214,大立科技,18.96,19.67,18.96,160,85457
603776,永安行,20.28,21.04,20.28,160,70534
300014,亿纬锂能,107.5,111.54,107.49,4,368655
000612,焦作万方,7.45,7.73,7.44,2181,299215
300643,万通智控,12.5,12.97,12.49,20,40381
603688,石英股份,58.5,60.7,58.47,2,36554
301007,德迈仕,19.41,20.14,19.41,184,29960
601199,江南水务,6.11,6.34,6.11,216,163435
600235,民丰特纸,6.11,6.34,6.11,578,256432
688066,航天宏图,66.3,68.8,66.3,0,14898
600096,云天化,18.82,19.53,18.82,1206,385952
603213,镇洋发展,21.47,22.28,21.47,211,141241
300339,润和软件,22.25,23.09,22.25,22,383649
300747,锐科激光,57.7,59.88,57.69,168,27368
002752,昇兴股份,6.61,6.86,6.6,497,231600
300490,华自科技,20.33,21.1,20.32,11,153822
300731,科创新源,34.27,35.57,34.26,6,20730
600111,北方稀土,42.7,44.32,42.7,1608,789849
002491,通鼎互联,5.0,5.19,5.0,109,247253
600222,太龙药业,8.68,9.01,8.67,703,282818
688355,明志科技,31.02,32.2,31.0,3,9983
688049,炬芯科技-U,59.28,61.54,59.28,9,14694
601669,中国电建,7.6,7.89,7.6,9060,2212464
