,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh600636,11.91,343008.0,0.0,0.0,0.0,0.0
sz002297,6.68,299264.0,0.0,0.0,0.0,0.0
sz300047,11.92,13112.0,0.0,0.0,0.0,0.0
sz002608,0,0,0,0,0,0
sz000529,0,0,0,0,0,0
sz300770,0,0,0,0,0,0
sz002292,5.88,34104.0,0.0,0.0,0.0,0.0
sz002573,7.48,44880.0,0.0,0.0,0.0,0.0
sz300218,6.48,3888.0,0.0,0.0,0.0,0.0
sz300078,9.61,136462.0,0.0,0.0,0.0,0.0
sz300196,0,0,0,0,0,0
sz300599,10.18,8144.0,0.0,0.0,0.0,0.0
sh600980,10.49,62940.0,0.0,0.0,0.0,0.0
sh603303,12.34,283820.0,0.0,0.0,0.0,0.0
sh603898,15.35,4605.0,0.0,0.0,0.0,0.0
sh603197,0,0,0,0,0,0
sz002113,4.01,864556.0,0.0,0.0,0.0,0.0
sh600517,4.07,436304.0,0.0,0.0,0.0,0.0
sz002503,2.36,140892.0,0.0,0.0,0.0,0.0
sz300059,12.5,2718750.0,0.0,0.0,0.0,0.0
sz000012,4.16,25022.0,0.0,0.0,0.0,0.0
sh603085,8.26,227976.0,0.0,0.0,0.0,0.0
sz300096,9.1,1207570.0,0.0,0.0,0.0,0.0
sz002217,5.75,10307450.0,0.0,0.0,0.0,0.0
sz300665,10.9,757768.0,0.0,0.0,0.0,0.0
sz002006,5.45,96465.0,0.0,0.0,0.0,0.0
sz300598,20.74,136884.0,0.0,0.0,0.0,0.0
sz000009,4.52,161364.0,0.0,0.0,0.0,0.0
sz300504,26.86,1689494.0,0.0,0.0,0.0,0.0
sh601113,7.47,354078.0,0.0,0.0,0.0,0.0
sz000969,5.24,580068.0,0.0,0.0,0.0,0.0
sz000816,1.6,25440.0,0.0,0.0,0.0,0.0
sz002163,5.0,79500.0,0.0,0.0,0.0,0.0
sz002373,11.46,100848.0,0.0,0.0,0.0,0.0
sh600007,13.4,2680.0,0.0,0.0,0.0,0.0
