,kaipan_price,kaipan_money,sell_amount
sh600995,8.2,143500,0.005571360000000001
sz300595,58.27,1689830,0.0036797999999999996
sz002878,30.7,567950,0.00374886
sh600789,9.96,2661312,0.0048598
sz300453,13.58,537768,0.00141372
sz000612,5.1,877200,0.01116951
sh600693,6.06,412080,0.0050935
sz002544,15.7,6074330,0.011135599999999999
sh603083,32.85,2831670,0.00548856
sh601515,13.0,7426302,0.01727522
sh603506,25.08,554268,0.0011637000000000002
sh600242,12.83,777498,0.0110141
sh603559,25.08,235752,0.016175
sz300281,6.97,82246,0.021141539999999997
sz002310,7.7,17310370,0.016927599999999998
sz000906,6.65,1240225,0.00625472
sz002156,10.37,8509622,0.00365634
sh601611,9.09,766287,0.23855352
sh601918,3.47,518418,0.0354574
sh600223,3.93,247983,0.00010504000000000001
sz002011,5.75,1222450,0.02248302
sz300009,16.33,1013113,0.0023997999999999997
sz300331,20.99,1458805,0.0007578600000000001
sz300492,0.0,0.0,0.0
sz300683,32.85,423765,0.00082272
sz300417,18.12,9060,0.00377783
sz000709,3.45,2462610,0.9029580299999999
sz300532,14.33,204919,0.00141453
sh600381,7.87,789361,0.0019844
sz300116,1.93,1492855,0.05212004
sh600162,2.81,359399,0.0685008
sz000985,15.15,15150,0.008236799999999999
sh603600,10.43,78225,0.0006064800000000001
sz002557,25.54,2002336,0.00215496
sh603937,13.5,85050,0.0002802
sz300405,9.1,50960,0.00015008
sh600664,6.2,14977830,0.09421720000000001
sh601168,6.58,3874304,0.013664860000000001
sz002555,14.24,5139216,0.0364998
sh601678,7.31,39460272,2.77913844
sz002635,15.24,4770120,0.02243916
sz002122,3.35,1384890,0.36879854000000006
sz300295,15.56,434124,0.00425568
sz300115,12.73,807171,0.0017992799999999999
sh603499,30.01,333111,0.00072864
sh600339,4.56,5466072,0.08036662
sz300245,10.93,72138,0.00064239
sh603169,6.7,848220,0.74757924
sz002140,8.38,1138842,0.008883
sz002067,4.24,686032,0.0012920999999999998
sh600636,15.8,662020,0.00091056
sz002297,8.02,367316,0.00429213
sz300047,16.51,2227199,0.0040698
sz002608,10.0,844000,0.008650090000000001
sz000529,6.57,794313,0.0011541199999999998
sz300770,0.0,0.0,0.0
sz002292,8.33,2600626,0.01988635
sz002573,9.5,1193200,0.013134539999999998
sz300218,8.14,33374,0.0061178
sz300078,10.94,973660,0.0443865
sz300196,10.29,45276,0.003204
sz300599,12.13,67928,0.00160734
sh600980,12.47,9964,0.005230940000000001
sh603303,15.66,122195,0.0017139599999999998
sh603898,21.46,900891,0.0028125
sh603197,26.27,408761,0.0027126
sz002113,3.49,1842371,0.00327168
sh600517,5.29,312110,0.024693720000000002
sz002503,3.4,9498580,0.0052288000000000005
sz300059,19.46,98047245,0.10631178
sz000012,5.57,346454,0.000144
sh603085,9.33,207126,7.712000000000001e-05
sz300096,13.49,5169368,0.019922899999999997
sz002217,7.05,5001270,0.00782946
sz300665,11.47,403744,0.00227292
sz002006,6.01,275859,0.00496438
sz300598,34.01,2598364,0.35883701
sz000009,6.77,3886657,0.00056908
sz300504,29.19,607152,0.0034637599999999998
sh601113,8.52,606624,0.00453564
sz000969,6.85,481555,0.01957788
sz000816,2.33,630498,0.28785415999999997
sz002163,6.59,742034,0.0028125999999999997
sz002373,19.3,7263188,1.34495118
sh600007,14.73,114894,0.0005734199999999999
sz300431,10.4,1303120,0.007776000000000001
sz002758,11.4,652080,0.0017830799999999998
sz300486,16.26,323574,0.00283689
sh601668,6.14,15369648,0.0506625
sz002681,5.25,2007600,0.0029376299999999997
sh603666,68.83,528339,6.968000000000001e-05
sh601101,6.98,2223828,0.008712
sz002325,3.72,194184,0.00478332
sz300127,13.06,181534,0.00064704
sz000948,16.58,1230236,0.00012305999999999998
sz002762,6.95,781875,0.019569549999999998
sz002409,17.28,2624832,0.0024683999999999995
sz300087,7.88,217488,0.00254904
sz002027,6.28,16819096,0.04904456
sz002410,29.67,605268,0.00162604
sh603113,13.7,871320,0.43110655999999997
