,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sz002543,15.04,82720.0,2.9166666666666665,0.013247,0.01519313
sh600561,7.28,105560.0,0.7,0.00182539,0.0003404
sh600995,9.3,398040.0,0.0,0.01648057,0.00497603
sz300595,52.72,774984.0,0.0,0.00479118,0.00016158
sz002878,31.58,615810.0,0.0,6.334e-05,6.334e-05
sh600789,10.61,4162303.0,0.26666666666666666,0.05073934,0.06731922
sz300453,14.15,181120.0,0.1,0.00439056,0.00236287
sz000612,5.05,393900.0,0.05,5.685e-05,0.00023243
sh600693,6.1,8540.0,12.666666666666666,0.00681847,0.00728755
sz002544,15.96,1141140.0,0.0,0.00426383,0.00103363
sh603083,35.72,5897372.0,0.0,0.01327275,0.00651168
sh601515,13.53,3609804.0,0.1,0.00285995,0.02875025
sh603506,24.85,129220.0,0.0,0.000771,0.000771
sh600242,12.47,266858.0,0.0,0.03441963,0.00450695
sh603559,26.8,10730720.0,0.0,0.0116344,0.00462386
sz300281,0.0,0.0,0.7,8.98e-05,0.00241074
sz002310,8.03,2328700.0,0.05,0.01133998,0.01741154
sz000906,7.71,1924794.0,0.0,0.01153664,0.01153664
sz002156,10.35,1294785.0,0.0,0.01920756,0.00153413
sh601611,9.76,509472.0,0.2,0.00051344,0.00441491
sh601918,3.64,1053780.0,0.0,0.03415174,0.00439782
sh600223,4.23,326556.0,0.0,0.00237614,0.00080566
sz002011,5.8,371780.0,0.0,0.00587292,0.00034963
sz300009,16.48,184576.0,0.25,0.00124084,0.00819126
sz300331,21.5,301000.0,0.16666666666666666,0.00833549,0.00256936
sz300492,28.69,367232.0,0.0,0.00079392,0.00061782
sz300683,35.78,150276.0,0.2,3.688e-05,0.00095886
sz300417,0.0,0.0,1.0,0.00773951,0.00267634
sz000709,3.54,3977767.0,1.1,0.07646913,0.04994657
sz300532,0.0,0.0,0.0,0.00769483,0.00162818
sh600381,7.58,15160.0,0.65,0.00775395,0.00100436
sz300116,1.92,626112.0,0.0,0.03481412,0.00736681
sh600162,2.87,235053.0,9.5,0.03614766,0.03415672
sz000985,16.88,280208.0,0.05,0.00365807,0.00278479
sh603600,9.84,16728.0,0.9666666666666667,0.0001199,0.00196985
sz002557,22.28,1519496.0,0.06666666666666667,0.00241654,0.0059395
sh603937,13.48,280384.0,0.05,0.01151515,0.00324886
sz300405,10.01,444244.0,0.0,0.0003919,0.00035066
sh600664,5.92,2469854.0,0.0,0.12209856,0.12209856
sh601168,7.09,1397439.0,0.31666666666666665,0.00926665,0.02976764
sz002555,13.27,675443.0,0.0,0.01634288,0.00185221
sh601678,7.89,3204918.0,20.666666666666668,0.57247157,2.35901731
sz002635,16.3,4867180.0,0.05,0.0249926,0.0103559
sz002122,3.17,26311.0,0.15,0.00327694,0.00044389
sz300295,15.85,288470.0,0.4,0.00756818,0.00624613
sz300115,13.85,2097956.0,0.0,0.00447169,0.0022948
sh603499,31.62,1362822.0,0.0,0.0012446,0.00274425
sh600339,4.83,686343.0,0.0,0.02089743,0.00189727
sz300245,11.06,74102.0,0.0,0.00045898,0.00338207
sh603169,6.8,136000.0,0.13333333333333333,0.00632027,0.009699
sz002140,9.04,329056.0,0.1,0.00679365,0.00658905
sz002067,4.23,174026.0,1.4833333333333334,0.0178631,0.01162013
sh600636,15.02,551234.0,0.15,0.00287517,0.00327367
sz002297,8.15,235535.0,0.15,0.01811826,0.00821406
sz300047,17.25,2835900.0,0.15,0.0055648,0.00598436
sz002608,10.34,200596.0,0.16666666666666666,0.00397644,0.00763146
sz000529,7.78,12410213.0,0.45,0.00665438,0.07114295
sz300770,0,0,0,0,0
sz002292,8.04,465516.0,0.1,0.04127731,0.01663615
sz002573,9.63,216675.0,0.21666666666666667,0.02272659,0.01340653
sz300218,8.36,389576.0,0.3,0.0071807,0.0051581199999999995
sz300078,10.74,210504.0,0.0,0.00123434,0.00122352
