,kaipan_price,kaipan_money
sh601186,7.69,299141.00000000006
sh601187,9.11,2380000.0
sh601188,2.9,200970.0
sh601198,10.8,865080.0000000001
sh601199,3.77,10556.0
sh601200,11.48,34440.0
sh601208,15.44,33968.0
sh601211,16.95,3040830.0
sh601212,2.73,296205.0
sh601216,5.59,615459.0
sh601218,3.62,288514.0
sh601222,6.7,313560.0
sh601225,11.31,5622201.0
sh601226,3.77,30160.000000000004
sh601228,3.24,25920.000000000004
sh601229,8.36,630000.0
sh601231,15.86,340000.0
sh601233,21.64,1490996.0
sh601236,13.18,1194108.0
sh601238,12.53,7133328.999999999
sh601258,1.6,3652800.0
sh601288,3.25,4006600.0
sh601298,6.29,146557.0
sh601311,12.03,674883.0
sh601318,70.78,27965178.000000004
sh601319,6.16,1504272.0
sh601326,2.69,124008.99999999999
sh601328,4.91,997221.0000000001
sh601330,9.24,888888.0000000001
sh601333,2.16,201744.0
sh601336,51.06,1924962.0000000002
sh601339,5.54,136838.0
sh601360,12.21,2024418.0
sh601366,6.21,6210.0
sh601368,5.19,519.0
sh601369,9.06,822648.0
sh601375,4.89,9445035.0
sh601377,8.38,3920000.0
sh601388,3.69,1070000.0
sh601390,5.39,1723182.9999999998
sh601398,5.21,3793922.0
sh601399,3.57,323085.0
sh601456,15.7,13374829.999999998
sh601500,5.49,31842.0
sh601512,9.95,59700.0
sh601515,7.06,1780000.0
sh601518,2.27,6583.0
sh601519,8.51,2181964.0
sh601555,8.44,543536.0
sh601566,11.0,33000.0
sh601567,13.46,6460000.0
sh601568,8.99,1798.0
sh601577,9.18,362610.0
sh601579,12.31,1740634.0
sh601588,2.47,46683.00000000001
sh601595,13.2,460000.0
sh601598,4.84,1183864.0
sh601599,3.11,2488.0
sh601600,5.13,5952339.0
sh601601,34.5,2411550.0
sh601606,10.85,660765.0
sh601607,22.82,3470000.0
sh601608,3.43,6517.0
sh601609,9.05,338470.0
sh601611,7.28,2108288.0
sh601615,15.72,4785168.0
sh601616,3.1,28830.0
sh601618,3.08,224840.0
sh601619,3.5,527450.0
sh601628,35.5,5430000.0
sh601633,34.38,6700000.0
sh601636,15.25,3306200.0
sh601658,5.25,939750.0
sh601666,6.2,1662840.0000000002
sh601668,4.95,3154140.0
sh601669,3.87,152865.0
sh601677,17.6,496320.00000000006
sh601678,6.89,520195.0
sh601686,11.25,57375.0
